"Адыгэ Макъ" (adygvoice.ru) 22.07.2013 [2013]	[year: 2013] {{Непэрэ}} {{мафэм}} {{губгъохэм}} {{ащыщ}} {{чӏыпӏэхэр}} {{зэрэзэхэкӏыхьагъэхэм}} {{ӏофыр}} {{ащыгъум}} {{тетыгъэмэ}}, {{къафадэщтыгъэп}}.	
"Адыгэ Макъ" (adygvoice.ru) 18.05.2016 [2016]	[year: 2016] {{Техническэ}} {{шӏыкӏэу}} {{зэрэгъэпсыгъэщтыр}} {{непэрэ}} {{мафэм}} {{ехъулӏэу}} {{гъэнэфагъэгоп}}.	
"Адыгэ Макъ" (adygvoice.ru) 03.08.2016 [2016]	[year: 2016] {{Непэрэ}} {{мафэм}} {{ехъулӏэу}} {{Адыгеим}} {{июрист}} {{нэбгырэ}} {{300-м}} {{ехъу}} {{мы}} {{Ассоциацием}} {{хэт}}.\n 	
"Адыгэ Макъ" (adygvoice.ru) 25.05.2017 [2017]	[year: 2017] {{Непэрэ}} {{мафэм}} {{сымэджэпэс}} {{сэнэхьатыр}} {{цӏыфхэм}} {{ящыкӏэгъэ}} {{шъыпкъ}}.	
"Адыгэ Макъ" (adygvoice.ru) 22.10.2013 [2013]	[year: 2013] {{Непэрэ}} {{мафэхэм}} {{яхъулӏэу}} {{ӏофхэм}} {{язытет}} {{зэдгъашӏэ}} {{тшӏоигъоу}} {{къалэу}} {{Мыекъуапэ}} {{иадминистрацие}} {{псэупӏэ}}-{{коммунальнэ}} {{хъызмэтымкӏэ}} {{игъэӏорышӏапӏэ}} {{зыфэдгъэзагъ}}.	
"Адыгэ Макъ" (adygvoice.ru) 17.12.2013 [2013]	[year: 2013] {{Зэӏахьылхэм}} {{гукъэкӏыжьхэм}} {{зараты}}, {{непэрэ}} {{мафэм}}, {{апэкӏэ}} {{къикӏыщтым}} {{рэгущыӏэх}}, {{зэрагъэзафэ}}.	
"Хъан-Джэрый" (Мэщбэшӏэ Исхьакъ) [1999]	[year: 1999] {{Непэрэ}} {{тыгъэпс}} {{мафэр}} {{хэмытмэ}}, {{бжыхьэри}}, {{гъатхэри}}, {{гъэмафэри}} {{узыгъэтхъэн}} {{лъэхъанхэп}}, {{анэгу}} {{зэӏыгъэхьэгъэ}} {{зэпыт}}.	
"Адыгэ Макъ" (adygvoice.ru) 28.10.2014 [2014]	[year: 2014] {{Непэрэ}} {{мафэм}} {{диштэу}} {{ахэр}} {{нахь}} {{гъэшӏэгъон}} {{пшӏынхэ}} {{зэрэплъэкӏыщтыр}} {{къыӏотагъ}}.	
"Адыгэ Макъ" (adygvoice.ru) 15.03.2013 [2013]	[year: 2013] {{Непэрэ}} {{мафэм}} {{адыгэ}} {{лъэпкъыр}} {{зынэсыгъэм}} {{урыгушхонэу}} {{зэрэщытыр}}, {{ащкӏэ}} {{бзэм}} {{мэхьанэшхо}} {{зэриӏэр}} {{къыӏуагъ}}.	
"Адыгэ Макъ" (adygvoice.ru) 25.02.2015 [2015]	[year: 2015] {{Непэрэ}} {{мафэм}} {{ехъулӏэу}} {{газыр}} {{зыгъэфедэрэ}} {{4120-м}} {{алъэныкъокӏэ}} {{мыщ}} {{фэдэ}} {{лъэбэкъу}} {{ашӏыгъ}}.\n 	
